chemical,flammable,specific_gravity,cpvc,glass_filled_pp,pvdf,ryton_pps,etfe,ptfe,ss316,hastelloy_c276,titanium,carbon,ceramic,silicon_carbide,epdm,fkm,fep
Calcium Hydroxide,False,,212,176,280,70,300,500,200,140,300,500,500,500,212,212,300
Carbon Disulfide,True,1.26,NR,NR,120,200,300,500,212,200,200,500,500,500,NR,200,300
Carbon Tetrachloride,False,1.59,NR,NR,170,70,300,500,480,185,200,500,500,500,NR,NR,200
Caustic Potash (See Potassium Hydroxide) KOH,False,1.45,ND,180,NR,200,300,500,70,185,NR,350,500,500,212,NR,300
"Fo Caustic Soda (See Sodium Hydroxide) NaOH, 50%",False,1.53,150,180,ND,70,250,480,125,70,NR,275,500,500,200,NR,300
"Chlorine Dioxide, 15%",False,,100,NR,280,ND,250,500,NR,110,200,NR,500,500,NR,70,300
Chlorine Dioxide,True,,NR,NR,280,ND,250,500,NR,70,180,NR,500,500,NR,70,300
"Chlorine, Liquid",False,1.47,NR,NR,200,NR,250,300,NR,600,212,NR,500,500,NR,70,300
Chlorobenzene,True,1.11,NR,NR,175,200,300,500,480,266,212,500,500,500,NR,200,300
"Chromic Acid, 10%",False,1.08,180,NR,280,70,212,500,180,212,482,NR,500,500,NR,70,300
"Chromic Acid, 20%",False,1.16,180,NR,212,70,200,500,212,212,482,NR,500,500,NR,70,300
"Chromic Acid, 40%",False,1.37,180,NR,212,70,200,500,212,212,482,NR,500,500,NR,70,300
"Chromic Acid, 50%",False,1.51,180,NR,185,70,232,500,212,200,482,NR,500,500,NR,70,300
Citric Acid,False,,212,180,275,220,300,500,302,374,70,212,500,500,212,350,300
Copper Sulfate,False,,180,180,285,223,300,500,160,212,70,70,500,500,176,140,300
Cyclohexane,True,0.78,NR,NR,212,200,300,500,480,200,300,500,500,500,NR,200,300
Diethylamine,True,0.71,NR,NR,70,ND,230,500,140,85,NR,500,500,500,160,NR,300
Dimethyl Sulfoxide,False,1.1,NR,NR,NR,200,212,500,ND,ND,ND,ND,500,500,ND,NR,ND
Dimethylamine,True,0.68,NR,NR,70,ND,230,500,ND,ND,ND,ND,500,500,NR,NR,300
Disodium Phosphate,False,,180,180,280,ND,140,500,70,70,ND,70,500,500,70,70,300
Epichlorohydrin,True,1.18,NR,NR,NR,70,300,500,480,212,ND,500,500,500,ND,NR,300
Ethanol (Ethyl Alcohol),True,0.79,NR,NR,280,300,300,500,200,212,200,500,500,500,200,70,400
Ethyl Acetate,True,0.9,NR,NR,122,100,170,500,302,414,212,500,500,500,130,NR,300
Ethyl Alcohol (Ethanol),True,0.79,NR,NR,280,300,300,500,200,212,200,500,500,500,200,70,400
Ethylene Glycol,False,1.11,180,180,260,200,300,500,392,386,NR,480,500,500,212,250,300
Ferric Chloride,False,,180,180,275,200,300,500,NR,175,200,340,500,500,225,212,300
Ferric Hydroxide,False,,212,140,250,ND,300,400,140,185,200,100,500,500,200,200,200
Ferric Sulfate,False,1.55,180,180,275,200,300,500,140,200,200,500,500,500,200,212,300
Ferric Sulfide,False,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,500,500,ND,ND,ND
"Formaldehyde, 37%",True,1.08,NR,NR,250,70,230,500,265,212,212,500,500,500,212,212,300
"Formaldehyde, 50%",True,,NR,NR,104,70,200,500,600,300,200,500,500,500,120,176,300
Formic Acid,False,1.22,70,70,214,70,275,500,212,200,140,340,500,500,200,NR,300
Fuel Oil,False,,180,NR,285,200,300,500,480,200,200,480,500,500,NR,200,300
Furfural,True,1.16,NR,NR,140,200,212,500,480,200,200,480,500,500,160,NR,300
"Gasoline, Unleaded",True,0.74,NR,NR,285,200,300,500,200,325,200,480,500,500,NR,250,300
