chemical,flammable,specific_gravity,cpvc,glass_filled_pp,pvdf,ryton_pps,etfe,ptfe,ss316,hastelloy_c276,titanium,carbon,ceramic,silicon_carbide,epdm,fkm,fep
"Sulfuric Acid, Fuming",False,1.94,NR,NR,NR,350,300,500,ND,ND,ND,ND,500,500,NR,140,400
"Tannic Acid, 10%",False,,180,180,260,200,275,500,212,150,200,500,500,500,140,140,300
"Tannic Acid, 100%",False,,180,180,260,200,275,500,212,150,200,500,500,500,140,140,300
Tetrahydrofuran,True,0.89,NR,NR,NR,140,212,500,200,200,200,500,500,500,NR,NR,300
"Toluene, Toluol",True,0.87,NR,NR,170,100,250,500,480,212,200,500,500,500,NR,100,300
Trichloroethylene,False,1.46,NR,NR,285,100,275,500,480,212,200,500,500,500,NR,ND,300
Triethylamine,True,0.73,NR,NR,100,ND,250,500,480,ND,ND,500,500,500,ND,ND,193
Trimethylamine,True,,ND,NR,150,ND,ND,300,ND,ND,ND,ND,500,500,ND,NR,193
Turpentine,True,0.86,NR,NR,285,200,275,500,480,200,200,500,500,500,NR,158,300
Urea,False,,180,180,280,200,275,500,200,200,200,500,500,500,200,200,300
"Water, Deionized",False,,210,210,280,200,300,500,480,600,570,500,500,500,200,200,300
"Water, Demineralized",False,,195,180,280,200,212,500,480,70,570,500,500,500,140,140,300
"Water, Distilled",False,,225,180,280,200,300,500,600,600,572,480,500,500,140,140,300
"Water, Fresh",False,,225,180,302,250,300,500,600,300,500,500,500,500,275,275,300
"Water, Salt",False,,212,180,285,200,300,500,600,300,212,340,500,500,200,200,300
"Water, Sea",False,,212,225,285,200,300,500,600,550,212,500,500,500,200,212,300
White Liquor,False,1.15,180,180,280,ND,200,500,480,130,ND,500,500,500,176,140,300
Xylene,True,0.87,NR,NR,175,200,250,500,480,350,200,340,500,500,NR,140,300
Xylol,True,0.87,NR,NR,175,200,250,500,480,350,200,340,500,500,NR,70,300
Zinc Chloride,False,,180,180,285,200,300,500,480,293,200,340,500,500,176,212,300
Zinc Sulfate,False,,180,180,285,200,300,500,480,932,200,340,500,500,212,200,300
