family,media,concentration,temp_f,temp_c,pvc,pp,pvdf,pfa,ptfe,ss316
Metal Plating & Photographic Solutions,Plating Solutions (Cadium),,104,40,E,,E,E,E,E
Metal Plating & Photographic Solutions,Plating Solutions (Copper),,104,40,E,E,E,E,E,E
Metal Plating & Photographic Solutions,Plating Solutions (Gold),,104,40,E,,E,E,E,E
Metal Plating & Photographic Solutions,Plating Solutions (Nickel),,104,40,E,E,E,E,E,F
Metal Plating & Photographic Solutions,Plating Solutions (Silver),,104,40,,,E,E,E,E
Metal Plating & Photographic Solutions,Plating Solutions (Tin),,104,40,E,E,E,E,E,F
Metal Plating & Photographic Solutions,Potassium Cyanide,,176,80,,G,E,,E,G
Metal Plating & Photographic Solutions,Potassium Cyanide,,104,40,E,E,E,E,E,G
Metal Plating & Photographic Solutions,Potassium Ferrocyanide,,176,80,,,E,,E,G
Metal Plating & Photographic Solutions,Potassium Ferrocyanide,,104,40,,,E,E,E,G
Metal Plating & Photographic Solutions,Sodium Cyanide (Solution),,104,40,E,E,E,E,E,E
Metal Plating & Photographic Solutions,Sodium Cyanide (Solution),,176,80,,G,E,,E,F
"Food, Beverage & Biological Process Fluids",Beer,,104,40,E,E,E,E,E,E
"Food, Beverage & Biological Process Fluids",Beer,,176,80,,E,E,,E,E
"Food, Beverage & Biological Process Fluids",Beet Sugar Liquors,,104,40,E,E,E,E,E,E
"Food, Beverage & Biological Process Fluids",Gelatin,,104,40,E,E,E,E,E,E
"Food, Beverage & Biological Process Fluids",Milk,,104,40,E,E,E,E,E,E
"Food, Beverage & Biological Process Fluids",Milk,,176,80,,E,E,,E,E
"Food, Beverage & Biological Process Fluids",Tomato Juice,Pure,104,40,E,E,E,E,E,E
"Food, Beverage & Biological Process Fluids",Vinegar,,104,40,E,E,E,E,E,E
"Food, Beverage & Biological Process Fluids",Vinegar,,176,80,,E,E,,E,C
"Food, Beverage & Biological Process Fluids",Wines,,104,40,E,E,E,E,E,E
"Food, Beverage & Biological Process Fluids",Wines,,176,80,,,E,,E,C
Gases & Elemental / Inorganic Misc,Carbon Dioxide (Wet-Dry),,104,40,E,E,E,E,E,E
Gases & Elemental / Inorganic Misc,Flourine Gas (Wet),,176,80,,,E,,E,C
Gases & Elemental / Inorganic Misc,Flourine Gas (Wet),,104,40,G,G,E,E,E,C
Gases & Elemental / Inorganic Misc,Hydrogen,,104,40,E,E,E,E,E,E
Gases & Elemental / Inorganic Misc,Hydrogen,,176,80,,E,E,,E,E
Gases & Elemental / Inorganic Misc,Hydrogen Sulfide (Aqueous),,104,40,E,E,E,E,E,F
Gases & Elemental / Inorganic Misc,Hydrogen Sulfide (Dry),,176,80,,E,E,,E,G
Gases & Elemental / Inorganic Misc,Hydrogen Sulfide (Dry),,104,40,E,E,E,E,E,G
Water / Aqueous,Potassium Chlorate (Aqueous),,104,40,E,E,E,E,E,G
Water / Aqueous,Sea Water,,176,80,,E,E,,E,E
Water / Aqueous,Sea Water,,104,40,E,E,E,E,E,E
Water / Aqueous,Water,,104,40,E,E,E,E,E,E
Water / Aqueous,Water,,176,80,,E,E,,E,E
Water / Aqueous,Water (Distilled),,104,40,E,E,E,E,E,E
Water / Aqueous,Water (Potable),,104,40,E,E,E,E,E,E
Water / Aqueous,Water (Potable),,176,80,,E,E,,E,E
